"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggsci","ggsci","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.2.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"ggsignif","ggsignif","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggtext","ggtext","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.2",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"ggthemes","ggthemes","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.1.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"gh","gh","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.1",NA,"R (>= 3.6)","cli (>= 3.0.1), gitcreds, glue, httr2, ini, jsonlite,
lifecycle, rlang (>= 1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"gitcreds","gitcreds","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"glmnet","glmnet","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.1-8",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"globals","globals","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"glue","glue","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.5.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"gmm","gmm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"knitr, mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"gmodels","gmodels","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.19.1",NA,NA,"MASS, gdata, stats",NA,"gplots, gtools, Matrix, nlme, lme4",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"goftest","goftest","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"googledrive","googledrive","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"googlesheets4","googlesheets4","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"gower","gower","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"GPArotation","GPArotation","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2024.3-1",NA,"R (>= 2.0.0)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gplots","gplots","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.2.0",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, rmarkdown, r2d2, nlme",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"grf","grf","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.0",NA,"R (>= 3.5.0)","DiceKriging, lmtest, Matrix, methods, Rcpp (>= 0.12.15),
sandwich (>= 2.4-0)","Rcpp, RcppEigen","DiagrammeR, MASS, rdd, survival (>= 3.2-8), testthat (>=
3.0.4)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"gridExtra","gridExtra","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"gridGraphics","gridGraphics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"gridtext","gridtext","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.5",NA,"R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"grr","grr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.5",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"gt","gt","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.11.1",NA,"R (>= 3.6.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli
(>= 3.6.3), commonmark (>= 1.9.1), dplyr (>= 1.1.4), fs (>=
1.6.4), glue (>= 1.8.0), htmltools (>= 0.5.8.1), htmlwidgets
(>= 1.6.4), juicyjuice (>= 0.1.0), magrittr (>= 2.0.3),
markdown (>= 1.13), reactable (>= 0.4.4), rlang (>= 1.1.4),
sass (>= 0.4.9), scales (>= 1.3.0), tidyselect (>= 1.2.1),
vctrs, xml2 (>= 1.3.6)",NA,"digest (>= 0.6.31), fontawesome (>= 0.5.2), ggplot2, grid,
gtable, katex (>= 1.4.1), knitr, lubridate, magick, paletteer,
RColorBrewer, rmarkdown (>= 2.20), rsvg, rvest, shiny (>=
1.9.1), testthat (>= 3.1.9), tidyr, webshot2 (>= 0.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"gtable","gtable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.6",NA,"R (>= 4.0)","cli, glue, grid, lifecycle, rlang (>= 1.1.0), stats",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"gtools","gtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"gtsummary","gtsummary","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.4",NA,"R (>= 4.2)","cards (>= 0.4.0), cli (>= 3.6.3), dplyr (>= 1.1.3), glue (>=
1.8.0), gt (>= 0.11.1), lifecycle (>= 1.0.3), rlang (>= 1.1.1),
tidyr (>= 1.3.0), vctrs (>= 0.6.4)",NA,"aod (>= 1.3.3), broom (>= 1.0.5), broom.helpers (>= 1.17.0),
broom.mixed (>= 0.2.9), car (>= 3.0-11), cardx (>= 0.2.2),
cmprsk, effectsize (>= 0.6.0), emmeans (>= 1.7.3), flextable
(>= 0.8.1), geepack (>= 1.3.10), ggstats (>= 0.2.1), huxtable
(>= 5.4.0), insight (>= 0.15.0), kableExtra (>= 1.3.4), knitr
(>= 1.37), lme4 (>= 1.1-31), mice (>= 3.10.0), nnet, officer,
openxlsx, parameters (>= 0.20.2), parsnip (>= 0.1.7),
rmarkdown, smd (>= 0.6.6), spelling, survey (>= 4.2), survival
(>= 3.6-4), testthat (>= 3.2.0), withr (>= 2.5.0), workflows
(>= 0.2.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"hardhat","hardhat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5), withr (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"haven","haven","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"HDInterval","HDInterval","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.4",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"hdm","hdm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.2",NA,"R (>= 3.0.0)","MASS, glmnet, ggplot2, checkmate, Formula, methods",NA,"testthat, knitr, rmarkdown, formatR, xtable, mvtnorm,
markdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"hdrcde","hdrcde","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.4",NA,"R (>= 2.15)","locfit, ash, ks, KernSmooth, ggplot2, RColorBrewer",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"here","here","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"highr","highr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.11",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"Hmisc","Hmisc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.2-1",NA,"R (>= 4.2.0)","methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer, htm2txt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"hms","hms","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"hpa","hpa","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.3",NA,NA,"Rcpp (>= 1.0.10), RcppParallel (>= 5.0.0)","Rcpp, RcppArmadillo, RcppParallel","ggplot2, mvtnorm, titanic, sampleSelection, GA (>= 3.2)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"htmlTable","htmlTable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.3",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.2"
"htmltools","htmltools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"htmlwidgets","htmlwidgets","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"httpuv","httpuv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.15",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"httr","httr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"httr2","httr2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.7",NA,"R (>= 4.0)","cli (>= 3.0.0), curl (>= 6.0.1), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later (>= 1.4.0), paws.common, promises, rmarkdown,
testthat (>= 3.1.8), tibble, webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"ica","ica","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"ids","ids","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"igraph","igraph","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.2",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang, stats, utils, vctrs","cpp11 (>= 0.5.0)","ape (>= 5.7-0.1), callr, decor, digest, igraphdata, knitr,
rgl (>= 1.3.14), rmarkdown, scales, stats4, tcltk, testthat,
vdiffr, withr","graph","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"ini","ini","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"inline","inline","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.20",NA,NA,"methods",NA,"Rcpp, tinytest",NA,"LGPL",NA,NA,NA,NA,"no","4.4.2"
"insight","insight","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,"R (>= 3.6)","methods, stats, utils",NA,"AER, afex, aod, ape, BayesFactor, bayestestR, bbmle,
bdsmatrix, betareg, bife, biglm, BH, blavaan (>= 0.5-5), blme,
boot, brms, broom, car, carData, censReg, cgam, clubSandwich,
cobalt, coxme, cplm, crch, curl, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest (>= 0.11.2), fungible,
fwb, gam, gamlss, gamlss.data, gamm4, gbm, gee, geepack, geoR,
ggeffects, GLMMadaptive, glmmTMB (>= 1.1.10), glmtoolbox, gmnl,
grDevices, gt, httptest2, httr2, interp, ivreg, JM, knitr,
lavaan, lavaSearch2, lfe, lme4, lmerTest, lmtest, logistf,
logitr, marginaleffects, MASS, Matrix, mclogit, mclust,
MCMCglmm, merTools, metaBMA, metadat, metafor, metaplus, mgcv,
mice, mlogit, mmrm, modelbased, multgee, MuMIn, nestedLogit,
nlme, nnet, nonnest2, ordinal, panelr, parameters, parsnip,
pbkrtest, performance, phylolm, plm, poorman, PROreg (>=
1.3.0), pscl, psych, quantreg, Rcpp, RcppEigen, rmarkdown, rms,
robustbase, robustlmm, rpart, rstanarm (>= 2.21.1), rstantools
(>= 2.1.0), rstudioapi, sandwich, serp, speedglm, splines,
statmod, survey, survival, svylme, testthat, tinytable (>=
0.1.0), TMB, truncreg, tweedie, VGAM, WeightIt, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"installr","installr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.23.4",NA,"R (>= 2.14.0)","stringr, utils",NA,"curl, XML, devtools, rjson, data.table, plyr, ggplot2, sp,
tools, pkgbuild (>= 1.1.0), testthat (>= 2.1.0), mockery,
R.utils",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"ipred","ipred","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-15",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"IRanges","IRanges","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.40.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.43.2)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"irlba","irlba","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.5.1",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"isoband","isoband","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"iterators","iterators","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.1"
"ivreg","ivreg","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6-4",NA,"R (>= 3.6.0)","car (>= 3.0-9), Formula, lmtest, MASS, stats",NA,"AER, effects (>= 4.2.0), knitr, insight, parallel, rmarkdown,
sandwich, testthat, modelsummary, gt, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"ivtools","ivtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.0",NA,NA,"stats, data.table, numDeriv, nleqslv, survival, ahaz, Rcpp","Rcpp",NA,NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"jomo","jomo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.7-6",NA,NA,"stats, lme4, survival, MASS, ordinal, tibble",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"jpeg","jpeg","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"jquerylib","jquerylib","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"jsonlite","jsonlite","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.9",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"juicyjuice","juicyjuice","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.0",NA,NA,"V8 (>= 4.2.0)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"kableExtra","kableExtra","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,"R (>= 3.1.0)","knitr (>= 1.33), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rmarkdown (>= 1.6.0), scales, viridisLite, stats, grDevices,
htmltools, rstudioapi, tools, digest, graphics, svglite",NA,"testthat, magick, tinytex, formattable, sparkline, webshot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"KEGGREST","KEGGREST","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.46.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"kernlab","kernlab","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-33",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"KernSmooth","KernSmooth","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.23-24","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.4.1"
"km.ci","km.ci","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5-6",NA,"R (>= 3.5.0)","stats, survival",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"KMsurv","KMsurv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-5",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,NA,"4.4.0"
"knitr","knitr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.49",NA,"R (>= 3.6.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.48), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, litedown, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.46), webshot, rstudioapi,
svglite",NA,"GPL",NA,NA,NA,NA,"no","4.4.2"
"ks","ks","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.14.3",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), pracma",NA,"geometry, MASS, misc3d (>= 0.4-0), oz, plot3D, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"labeling","labeling","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.4.0"
"labelled","labelled","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.13.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr, tidyselect",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"lambda.r","lambda.r","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.1"
"languageserver","languageserver","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.16",NA,"R (>= 3.4.0)","callr (>= 3.0.0), collections (>= 0.3.0), fs (>= 1.3.1),
jsonlite (>= 1.6), lintr (>= 3.0.0), parallel, R6 (>= 2.4.1),
roxygen2 (>= 7.0.0), stringi (>= 1.1.7), styler (>= 1.5.1),
tools, utils, xml2 (>= 1.2.2), xmlparsedata (>= 1.0.3)",NA,"covr (>= 3.4.0), magrittr (>= 1.5), mockery (>= 0.4.2),
pacman, processx (>= 3.4.1), purrr (>= 0.3.3), testthat (>=
2.1.0), withr (>= 2.3.0), rmarkdown (>= 2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"LARF","LARF","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4",NA,NA,"Formula",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"lars","lars","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"later","later","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.1",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, nanonext, R6, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"latex2exp","latex2exp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.6",NA,NA,"stringr, magrittr",NA,"testthat, waldo, knitr, ggplot2, rmarkdown, purrr, tibble,
reactable, htmltools, RCurl, rlang, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
